Date,Product ID,Product Name,Category,Unit,Movement Type,Quantity,Stock Level,Reorder Point,Max Stock,Supplier,Alert
2023-01-26,P001,Acide Sulfurique,Chimique,Tonne,Sortie,27,358,50,500,,Normal
2023-01-27,P001,Acide Sulfurique,Chimique,Tonne,Entrée,35,393,50,500,IndustroPro,Normal
2023-01-27,P001,Acide Sulfurique,Chimique,Tonne,Sortie,27,366,50,500,,Normal
2023-01-28,P001,Acide Sulfurique,Chimique,Tonne,Sortie,23,343,50,500,,Normal
2023-01-29,P001,Acide Sulfurique,Chimique,Tonne,Entrée,30,373,50,500,ChimTech Maroc,Normal
2023-01-29,P001,Acide Sulfurique,Chimique,Tonne,Sortie,32,341,50,500,,Normal
2023-01-30,P001,Acide Sulfurique,Chimique,Tonne,Entrée,92,433,50,500,Atlas Équipements,Normal
2023-01-30,P001,Acide Sulfurique,Chimique,Tonne,Sortie,12,421,50,500,,Normal
2023-01-31,P001,Acide Sulfurique,Chimique,Tonne,Entrée,37,458,50,500,ChimTech Maroc,Normal
2023-01-31,P001,Acide Sulfurique,Chimique,Tonne,Sortie,16,442,50,500,,Normal
2023-02-01,P001,Acide Sulfurique,Chimique,Tonne,Sortie,26,416,50,500,,Normal
2023-02-02,P001,Acide Sulfurique,Chimique,Tonne,Entrée,86,500,50,500,IndustroPro,Normal
2023-02-02,P001,Acide Sulfurique,Chimique,Tonne,Sortie,20,480,50,500,,Normal
2023-02-03,P001,Acide Sulfurique,Chimique,Tonne,Sortie,27,453,50,500,,Normal
2023-02-04,P001,Acide Sulfurique,Chimique,Tonne,Sortie,37,416,50,500,,Normal
2023-02-05,P001,Acide Sulfurique,Chimique,Tonne,Sortie,23,393,50,500,,Normal
2023-02-06,P001,Acide Sulfurique,Chimique,Tonne,Sortie,18,375,50,500,,Normal
2023-02-07,P001,Acide Sulfurique,Chimique,Tonne,Sortie,12,363,50,500,,Normal
2023-02-08,P001,Acide Sulfurique,Chimique,Tonne,Entrée,65,428,50,500,Maghreb Chimie,Normal
2023-02-08,P001,Acide Sulfurique,Chimique,Tonne,Sortie,9,419,50,500,,Normal
2023-02-09,P001,Acide Sulfurique,Chimique,Tonne,Sortie,20,399,50,500,,Normal
2023-02-10,P001,Acide Sulfurique,Chimique,Tonne,Sortie,15,384,50,500,,Normal
2023-02-11,P001,Acide Sulfurique,Chimique,Tonne,Entrée,139,500,50,500,Atlas Équipements,Normal
2023-02-11,P001,Acide Sulfurique,Chimique,Tonne,Sortie,37,463,50,500,,Normal
2023-02-12,P001,Acide Sulfurique,Chimique,Tonne,Sortie,13,450,50,500,,Normal
2023-02-13,P001,Acide Sulfurique,Chimique,Tonne,Sortie,33,417,50,500,,Normal
2023-02-14,P001,Acide Sulfurique,Chimique,Tonne,Entrée,53,470,50,500,OCP Logistique,Normal
2023-02-14,P001,Acide Sulfurique,Chimique,Tonne,Sortie,23,447,50,500,,Normal
2023-02-15,P001,Acide Sulfurique,Chimique,Tonne,Entrée,69,500,50,500,IndustroPro,Normal
2023-02-15,P001,Acide Sulfurique,Chimique,Tonne,Sortie,17,483,50,500,,Normal
2023-02-16,P001,Acide Sulfurique,Chimique,Tonne,Sortie,27,456,50,500,,Normal
2023-02-17,P001,Acide Sulfurique,Chimique,Tonne,Sortie,31,425,50,500,,Normal
2023-02-18,P001,Acide Sulfurique,Chimique,Tonne,Sortie,27,398,50,500,,Normal
2023-02-19,P001,Acide Sulfurique,Chimique,Tonne,Sortie,10,388,50,500,,Normal
2023-02-20,P001,Acide Sulfurique,Chimique,Tonne,Sortie,26,362,50,500,,Normal
2023-02-21,P001,Acide Sulfurique,Chimique,Tonne,Sortie,31,331,50,500,,Normal
2023-02-22,P001,Acide Sulfurique,Chimique,Tonne,Sortie,35,296,50,500,,Normal
2023-02-23,P001,Acide Sulfurique,Chimique,Tonne,Sortie,21,275,50,500,,Normal
2023-02-24,P001,Acide Sulfurique,Chimique,Tonne,Sortie,20,255,50,500,,Normal
2023-02-25,P001,Acide Sulfurique,Chimique,Tonne,Sortie,38,217,50,500,,Normal
2023-02-26,P001,Acide Sulfurique,Chimique,Tonne,Sortie,27,190,50,500,,Normal
2023-02-27,P001,Acide Sulfurique,Chimique,Tonne,Sortie,29,161,50,500,,Normal
2023-02-28,P001,Acide Sulfurique,Chimique,Tonne,Sortie,17,144,50,500,,Normal
2023-03-01,P001,Acide Sulfurique,Chimique,Tonne,Sortie,7,137,50,500,,Normal
2023-03-02,P001,Acide Sulfurique,Chimique,Tonne,Entrée,35,172,50,500,Maghreb Chimie,Normal
2023-03-02,P001,Acide Sulfurique,Chimique,Tonne,Sortie,27,145,50,500,,Normal
2023-03-03,P001,Acide Sulfurique,Chimique,Tonne,Sortie,18,127,50,500,,Normal
2023-03-04,P001,Acide Sulfurique,Chimique,Tonne,Sortie,38,89,50,500,,Normal
2023-03-05,P001,Acide Sulfurique,Chimique,Tonne,Sortie,22,67,50,500,,Normal
2023-03-06,P001,Acide Sulfurique,Chimique,Tonne,Sortie,21,46,50,500,,Rupture
2023-03-07,P001,Acide Sulfurique,Chimique,Tonne,Entrée,100,146,50,500,OCP Logistique,Normal
2023-03-07,P001,Acide Sulfurique,Chimique,Tonne,Sortie,28,118,50,500,,Normal
2023-03-08,P001,Acide Sulfurique,Chimique,Tonne,Sortie,33,85,50,500,,Normal
2023-03-09,P001,Acide Sulfurique,Chimique,Tonne,Entrée,120,205,50,500,OCP Logistique,Normal
2023-03-09,P001,Acide Sulfurique,Chimique,Tonne,Sortie,35,170,50,500,,Normal
2023-03-10,P001,Acide Sulfurique,Chimique,Tonne,Entrée,39,209,50,500,IndustroPro,Normal
2023-03-10,P001,Acide Sulfurique,Chimique,Tonne,Sortie,36,173,50,500,,Normal
2023-03-11,P001,Acide Sulfurique,Chimique,Tonne,Sortie,37,136,50,500,,Normal
2023-03-12,P001,Acide Sulfurique,Chimique,Tonne,Sortie,10,126,50,500,,Normal
2023-03-13,P001,Acide Sulfurique,Chimique,Tonne,Entrée,30,156,50,500,Atlas Équipements,Normal
2023-03-13,P001,Acide Sulfurique,Chimique,Tonne,Sortie,34,122,50,500,,Normal
2023-03-14,P001,Acide Sulfurique,Chimique,Tonne,Sortie,29,93,50,500,,Normal
2023-03-15,P001,Acide Sulfurique,Chimique,Tonne,Entrée,136,229,50,500,IndustroPro,Normal
2023-03-15,P001,Acide Sulfurique,Chimique,Tonne,Sortie,11,218,50,500,,Normal
2023-03-16,P001,Acide Sulfurique,Chimique,Tonne,Sortie,40,178,50,500,,Normal
2023-03-17,P001,Acide Sulfurique,Chimique,Tonne,Sortie,33,145,50,500,,Normal
2023-03-18,P001,Acide Sulfurique,Chimique,Tonne,Entrée,73,218,50,500,ChimTech Maroc,Normal
2023-03-18,P001,Acide Sulfurique,Chimique,Tonne,Sortie,38,180,50,500,,Normal
2023-03-19,P001,Acide Sulfurique,Chimique,Tonne,Sortie,26,154,50,500,,Normal
2023-03-20,P001,Acide Sulfurique,Chimique,Tonne,Entrée,86,240,50,500,Atlas Équipements,Normal
2023-03-20,P001,Acide Sulfurique,Chimique,Tonne,Sortie,36,204,50,500,,Normal
2023-03-21,P001,Acide Sulfurique,Chimique,Tonne,Entrée,98,302,50,500,IndustroPro,Normal
2023-03-21,P001,Acide Sulfurique,Chimique,Tonne,Sortie,34,268,50,500,,Normal
2023-03-22,P001,Acide Sulfurique,Chimique,Tonne,Sortie,12,256,50,500,,Normal
2023-03-23,P001,Acide Sulfurique,Chimique,Tonne,Entrée,54,310,50,500,OCP Logistique,Normal
2023-03-23,P001,Acide Sulfurique,Chimique,Tonne,Sortie,33,277,50,500,,Normal
2023-03-24,P001,Acide Sulfurique,Chimique,Tonne,Sortie,27,250,50,500,,Normal
2023-03-25,P001,Acide Sulfurique,Chimique,Tonne,Sortie,31,219,50,500,,Normal
2023-03-26,P001,Acide Sulfurique,Chimique,Tonne,Sortie,35,184,50,500,,Normal
2023-03-27,P001,Acide Sulfurique,Chimique,Tonne,Sortie,6,178,50,500,,Normal
2023-03-28,P001,Acide Sulfurique,Chimique,Tonne,Entrée,143,321,50,500,ChimTech Maroc,Normal
2023-03-28,P001,Acide Sulfurique,Chimique,Tonne,Sortie,33,288,50,500,,Normal
2023-03-29,P001,Acide Sulfurique,Chimique,Tonne,Entrée,77,365,50,500,ChimTech Maroc,Normal
2023-03-29,P001,Acide Sulfurique,Chimique,Tonne,Sortie,16,349,50,500,,Normal
2023-03-30,P001,Acide Sulfurique,Chimique,Tonne,Sortie,10,339,50,500,,Normal
2023-03-31,P001,Acide Sulfurique,Chimique,Tonne,Sortie,5,334,50,500,,Normal
2023-04-01,P001,Acide Sulfurique,Chimique,Tonne,Entrée,58,392,50,500,Atlas Équipements,Normal
2023-04-01,P001,Acide Sulfurique,Chimique,Tonne,Sortie,32,360,50,500,,Normal
2023-04-02,P001,Acide Sulfurique,Chimique,Tonne,Sortie,24,336,50,500,,Normal
2023-04-03,P001,Acide Sulfurique,Chimique,Tonne,Sortie,21,315,50,500,,Normal
2023-04-04,P001,Acide Sulfurique,Chimique,Tonne,Sortie,34,281,50,500,,Normal
2023-04-05,P001,Acide Sulfurique,Chimique,Tonne,Entrée,83,364,50,500,IndustroPro,Normal
2023-04-05,P001,Acide Sulfurique,Chimique,Tonne,Sortie,16,348,50,500,,Normal
2023-04-06,P001,Acide Sulfurique,Chimique,Tonne,Sortie,13,335,50,500,,Normal
2023-04-07,P001,Acide Sulfurique,Chimique,Tonne,Sortie,26,309,50,500,,Normal
2023-04-08,P001,Acide Sulfurique,Chimique,Tonne,Entrée,39,348,50,500,Atlas Équipements,Normal
2023-04-08,P001,Acide Sulfurique,Chimique,Tonne,Sortie,21,327,50,500,,Normal
2023-04-09,P001,Acide Sulfurique,Chimique,Tonne,Sortie,9,318,50,500,,Normal
2023-04-10,P001,Acide Sulfurique,Chimique,Tonne,Entrée,136,454,50,500,ChimTech Maroc,Normal
2023-04-10,P001,Acide Sulfurique,Chimique,Tonne,Sortie,39,415,50,500,,Normal
2023-04-11,P001,Acide Sulfurique,Chimique,Tonne,Entrée,115,500,50,500,Maghreb Chimie,Normal
2023-04-11,P001,Acide Sulfurique,Chimique,Tonne,Sortie,19,481,50,500,,Normal
2023-04-12,P001,Acide Sulfurique,Chimique,Tonne,Sortie,35,446,50,500,,Normal
2023-04-13,P001,Acide Sulfurique,Chimique,Tonne,Sortie,39,407,50,500,,Normal
2023-04-14,P001,Acide Sulfurique,Chimique,Tonne,Entrée,117,500,50,500,IndustroPro,Normal
2023-04-14,P001,Acide Sulfurique,Chimique,Tonne,Sortie,18,482,50,500,,Normal
2023-04-15,P001,Acide Sulfurique,Chimique,Tonne,Sortie,31,451,50,500,,Normal
2023-04-16,P001,Acide Sulfurique,Chimique,Tonne,Sortie,19,432,50,500,,Normal
2023-04-17,P001,Acide Sulfurique,Chimique,Tonne,Entrée,53,485,50,500,Maghreb Chimie,Normal
2023-04-17,P001,Acide Sulfurique,Chimique,Tonne,Sortie,20,465,50,500,,Normal
2023-04-18,P001,Acide Sulfurique,Chimique,Tonne,Sortie,31,434,50,500,,Normal
2023-04-19,P001,Acide Sulfurique,Chimique,Tonne,Entrée,32,466,50,500,ChimTech Maroc,Normal
2023-04-19,P001,Acide Sulfurique,Chimique,Tonne,Sortie,32,434,50,500,,Normal
2023-04-20,P001,Acide Sulfurique,Chimique,Tonne,Entrée,73,500,50,500,Atlas Équipements,Normal
2023-04-20,P001,Acide Sulfurique,Chimique,Tonne,Sortie,9,491,50,500,,Normal
2023-04-21,P001,Acide Sulfurique,Chimique,Tonne,Sortie,35,456,50,500,,Normal
2023-04-22,P001,Acide Sulfurique,Chimique,Tonne,Sortie,20,436,50,500,,Normal
2023-04-23,P001,Acide Sulfurique,Chimique,Tonne,Sortie,10,426,50,500,,Normal
2023-04-24,P001,Acide Sulfurique,Chimique,Tonne,Sortie,31,395,50,500,,Normal
2023-04-25,P001,Acide Sulfurique,Chimique,Tonne,Sortie,17,378,50,500,,Normal
2023-04-26,P001,Acide Sulfurique,Chimique,Tonne,Sortie,18,360,50,500,,Normal
2023-04-27,P001,Acide Sulfurique,Chimique,Tonne,Sortie,30,330,50,500,,Normal
2023-04-28,P001,Acide Sulfurique,Chimique,Tonne,Sortie,26,304,50,500,,Normal
2023-04-29,P001,Acide Sulfurique,Chimique,Tonne,Sortie,33,271,50,500,,Normal
2023-04-30,P001,Acide Sulfurique,Chimique,Tonne,Sortie,39,232,50,500,,Normal
2023-05-01,P001,Acide Sulfurique,Chimique,Tonne,Sortie,24,208,50,500,,Normal
2023-05-02,P001,Acide Sulfurique,Chimique,Tonne,Sortie,21,187,50,500,,Normal
2023-05-03,P001,Acide Sulfurique,Chimique,Tonne,Sortie,19,168,50,500,,Normal
2023-05-04,P001,Acide Sulfurique,Chimique,Tonne,Entrée,38,206,50,500,OCP Logistique,Normal
2023-05-04,P001,Acide Sulfurique,Chimique,Tonne,Sortie,37,169,50,500,,Normal
2023-05-05,P001,Acide Sulfurique,Chimique,Tonne,Entrée,130,299,50,500,IndustroPro,Normal
2023-05-05,P001,Acide Sulfurique,Chimique,Tonne,Sortie,6,293,50,500,,Normal
2023-05-06,P001,Acide Sulfurique,Chimique,Tonne,Sortie,35,258,50,500,,Normal
2023-05-07,P001,Acide Sulfurique,Chimique,Tonne,Sortie,8,250,50,500,,Normal
2023-05-08,P001,Acide Sulfurique,Chimique,Tonne,Sortie,24,226,50,500,,Normal
2023-05-09,P001,Acide Sulfurique,Chimique,Tonne,Sortie,32,194,50,500,,Normal
2023-05-10,P001,Acide Sulfurique,Chimique,Tonne,Sortie,12,182,50,500,,Normal
2023-05-11,P001,Acide Sulfurique,Chimique,Tonne,Sortie,33,149,50,500,,Normal
2023-05-12,P001,Acide Sulfurique,Chimique,Tonne,Sortie,30,119,50,500,,Normal
2023-05-13,P001,Acide Sulfurique,Chimique,Tonne,Sortie,7,112,50,500,,Normal
2023-05-14,P001,Acide Sulfurique,Chimique,Tonne,Entrée,111,223,50,500,IndustroPro,Normal
2023-05-14,P001,Acide Sulfurique,Chimique,Tonne,Sortie,19,204,50,500,,Normal
2023-05-15,P001,Acide Sulfurique,Chimique,Tonne,Sortie,37,167,50,500,,Normal
2023-05-16,P001,Acide Sulfurique,Chimique,Tonne,Sortie,32,135,50,500,,Normal
2023-05-17,P001,Acide Sulfurique,Chimique,Tonne,Sortie,17,118,50,500,,Normal
2023-05-18,P001,Acide Sulfurique,Chimique,Tonne,Entrée,89,207,50,500,Maghreb Chimie,Normal
2023-05-18,P001,Acide Sulfurique,Chimique,Tonne,Sortie,27,180,50,500,,Normal
2023-05-19,P001,Acide Sulfurique,Chimique,Tonne,Sortie,35,145,50,500,,Normal
2023-05-20,P001,Acide Sulfurique,Chimique,Tonne,Sortie,24,121,50,500,,Normal
2023-05-21,P001,Acide Sulfurique,Chimique,Tonne,Sortie,34,87,50,500,,Normal
2023-05-22,P001,Acide Sulfurique,Chimique,Tonne,Sortie,18,69,50,500,,Normal
2023-05-23,P001,Acide Sulfurique,Chimique,Tonne,Entrée,120,189,50,500,Maghreb Chimie,Normal
2023-05-23,P001,Acide Sulfurique,Chimique,Tonne,Sortie,33,156,50,500,,Normal
2023-05-24,P001,Acide Sulfurique,Chimique,Tonne,Entrée,93,249,50,500,ChimTech Maroc,Normal
2023-05-24,P001,Acide Sulfurique,Chimique,Tonne,Sortie,6,243,50,500,,Normal
2023-05-25,P001,Acide Sulfurique,Chimique,Tonne,Sortie,35,208,50,500,,Normal
2023-05-26,P001,Acide Sulfurique,Chimique,Tonne,Sortie,6,202,50,500,,Normal
2023-05-27,P001,Acide Sulfurique,Chimique,Tonne,Entrée,69,271,50,500,IndustroPro,Normal
2023-05-27,P001,Acide Sulfurique,Chimique,Tonne,Sortie,5,266,50,500,,Normal
2023-05-28,P001,Acide Sulfurique,Chimique,Tonne,Sortie,16,250,50,500,,Normal
2023-05-29,P001,Acide Sulfurique,Chimique,Tonne,Sortie,32,218,50,500,,Normal
2023-05-30,P001,Acide Sulfurique,Chimique,Tonne,Entrée,38,256,50,500,Maghreb Chimie,Normal
2023-05-30,P001,Acide Sulfurique,Chimique,Tonne,Sortie,20,236,50,500,,Normal
2023-05-31,P001,Acide Sulfurique,Chimique,Tonne,Entrée,29,265,50,500,ChimTech Maroc,Normal
2023-05-31,P001,Acide Sulfurique,Chimique,Tonne,Sortie,21,244,50,500,,Normal
2023-06-01,P001,Acide Sulfurique,Chimique,Tonne,Sortie,14,230,50,500,,Normal
2023-06-02,P001,Acide Sulfurique,Chimique,Tonne,Sortie,35,195,50,500,,Normal
2023-06-03,P001,Acide Sulfurique,Chimique,Tonne,Entrée,98,293,50,500,Atlas Équipements,Normal
2023-06-03,P001,Acide Sulfurique,Chimique,Tonne,Sortie,35,258,50,500,,Normal
2023-06-04,P001,Acide Sulfurique,Chimique,Tonne,Sortie,26,232,50,500,,Normal
2023-06-05,P001,Acide Sulfurique,Chimique,Tonne,Sortie,32,200,50,500,,Normal
2023-06-06,P001,Acide Sulfurique,Chimique,Tonne,Entrée,26,226,50,500,Maghreb Chimie,Normal
2023-06-06,P001,Acide Sulfurique,Chimique,Tonne,Sortie,23,203,50,500,,Normal
2023-06-07,P001,Acide Sulfurique,Chimique,Tonne,Sortie,32,171,50,500,,Normal
2023-06-08,P001,Acide Sulfurique,Chimique,Tonne,Entrée,119,290,50,500,Maghreb Chimie,Normal
2023-06-08,P001,Acide Sulfurique,Chimique,Tonne,Sortie,19,271,50,500,,Normal
2023-06-09,P001,Acide Sulfurique,Chimique,Tonne,Entrée,115,386,50,500,Maghreb Chimie,Normal
2023-06-09,P001,Acide Sulfurique,Chimique,Tonne,Sortie,29,357,50,500,,Normal
2023-06-10,P001,Acide Sulfurique,Chimique,Tonne,Sortie,28,329,50,500,,Normal
2023-06-11,P001,Acide Sulfurique,Chimique,Tonne,Sortie,13,316,50,500,,Normal
2023-06-12,P001,Acide Sulfurique,Chimique,Tonne,Sortie,20,296,50,500,,Normal
2023-06-13,P001,Acide Sulfurique,Chimique,Tonne,Entrée,31,327,50,500,OCP Logistique,Normal
2023-06-13,P001,Acide Sulfurique,Chimique,Tonne,Sortie,34,293,50,500,,Normal
2023-06-14,P001,Acide Sulfurique,Chimique,Tonne,Sortie,38,255,50,500,,Normal
2023-06-15,P001,Acide Sulfurique,Chimique,Tonne,Entrée,131,386,50,500,Atlas Équipements,Normal
2023-06-15,P001,Acide Sulfurique,Chimique,Tonne,Sortie,6,380,50,500,,Normal
2023-06-16,P001,Acide Sulfurique,Chimique,Tonne,Sortie,22,358,50,500,,Normal
2023-06-17,P001,Acide Sulfurique,Chimique,Tonne,Sortie,37,321,50,500,,Normal
2023-06-18,P001,Acide Sulfurique,Chimique,Tonne,Entrée,121,442,50,500,IndustroPro,Normal
2023-06-18,P001,Acide Sulfurique,Chimique,Tonne,Sortie,33,409,50,500,,Normal
2023-06-19,P001,Acide Sulfurique,Chimique,Tonne,Entrée,123,500,50,500,IndustroPro,Normal
2023-06-19,P001,Acide Sulfurique,Chimique,Tonne,Sortie,35,465,50,500,,Normal
2023-06-20,P001,Acide Sulfurique,Chimique,Tonne,Entrée,88,500,50,500,Atlas Équipements,Normal
2023-06-20,P001,Acide Sulfurique,Chimique,Tonne,Sortie,17,483,50,500,,Normal
2023-06-21,P001,Acide Sulfurique,Chimique,Tonne,Entrée,106,500,50,500,IndustroPro,Normal
2023-06-21,P001,Acide Sulfurique,Chimique,Tonne,Sortie,16,484,50,500,,Normal
2023-06-22,P001,Acide Sulfurique,Chimique,Tonne,Sortie,35,449,50,500,,Normal
2023-06-23,P001,Acide Sulfurique,Chimique,Tonne,Sortie,37,412,50,500,,Normal
2023-06-24,P001,Acide Sulfurique,Chimique,Tonne,Entrée,103,500,50,500,Atlas Équipements,Normal
2023-06-24,P001,Acide Sulfurique,Chimique,Tonne,Sortie,39,461,50,500,,Normal
2023-06-25,P001,Acide Sulfurique,Chimique,Tonne,Sortie,10,451,50,500,,Normal
2023-06-26,P001,Acide Sulfurique,Chimique,Tonne,Sortie,32,419,50,500,,Normal
2023-06-27,P001,Acide Sulfurique,Chimique,Tonne,Sortie,32,387,50,500,,Normal
2023-06-28,P001,Acide Sulfurique,Chimique,Tonne,Sortie,22,365,50,500,,Normal
2023-06-29,P001,Acide Sulfurique,Chimique,Tonne,Sortie,17,348,50,500,,Normal
2023-06-30,P001,Acide Sulfurique,Chimique,Tonne,Sortie,22,326,50,500,,Normal
2023-07-01,P001,Acide Sulfurique,Chimique,Tonne,Entrée,98,424,50,500,OCP Logistique,Normal
2023-07-01,P001,Acide Sulfurique,Chimique,Tonne,Sortie,36,388,50,500,,Normal
2023-07-02,P001,Acide Sulfurique,Chimique,Tonne,Sortie,29,359,50,500,,Normal
2023-07-03,P001,Acide Sulfurique,Chimique,Tonne,Sortie,30,329,50,500,,Normal
2023-07-04,P001,Acide Sulfurique,Chimique,Tonne,Entrée,63,392,50,500,ChimTech Maroc,Normal
2023-07-04,P001,Acide Sulfurique,Chimique,Tonne,Sortie,18,374,50,500,,Normal
2023-07-05,P001,Acide Sulfurique,Chimique,Tonne,Sortie,23,351,50,500,,Normal
2023-07-06,P001,Acide Sulfurique,Chimique,Tonne,Sortie,36,315,50,500,,Normal
2023-07-07,P001,Acide Sulfurique,Chimique,Tonne,Entrée,127,442,50,500,ChimTech Maroc,Normal
2023-07-07,P001,Acide Sulfurique,Chimique,Tonne,Sortie,6,436,50,500,,Normal
2023-07-08,P001,Acide Sulfurique,Chimique,Tonne,Entrée,98,500,50,500,ChimTech Maroc,Normal
2023-07-08,P001,Acide Sulfurique,Chimique,Tonne,Sortie,21,479,50,500,,Normal
2023-07-09,P001,Acide Sulfurique,Chimique,Tonne,Entrée,46,500,50,500,Maghreb Chimie,Normal
2023-07-09,P001,Acide Sulfurique,Chimique,Tonne,Sortie,26,474,50,500,,Normal
2023-07-10,P001,Acide Sulfurique,Chimique,Tonne,Entrée,105,500,50,500,Atlas Équipements,Normal
2023-07-10,P001,Acide Sulfurique,Chimique,Tonne,Sortie,19,481,50,500,,Normal
2023-07-11,P001,Acide Sulfurique,Chimique,Tonne,Sortie,14,467,50,500,,Normal
2023-07-12,P001,Acide Sulfurique,Chimique,Tonne,Sortie,37,430,50,500,,Normal
2023-07-13,P001,Acide Sulfurique,Chimique,Tonne,Entrée,105,500,50,500,IndustroPro,Normal
2023-07-13,P001,Acide Sulfurique,Chimique,Tonne,Sortie,14,486,50,500,,Normal
2023-07-14,P001,Acide Sulfurique,Chimique,Tonne,Entrée,30,500,50,500,ChimTech Maroc,Normal
2023-07-14,P001,Acide Sulfurique,Chimique,Tonne,Sortie,22,478,50,500,,Normal
2023-07-15,P001,Acide Sulfurique,Chimique,Tonne,Entrée,122,500,50,500,Maghreb Chimie,Normal
2023-07-15,P001,Acide Sulfurique,Chimique,Tonne,Sortie,30,470,50,500,,Normal
2023-07-16,P001,Acide Sulfurique,Chimique,Tonne,Sortie,30,440,50,500,,Normal
2023-07-17,P001,Acide Sulfurique,Chimique,Tonne,Sortie,19,421,50,500,,Normal
2023-07-18,P001,Acide Sulfurique,Chimique,Tonne,Entrée,87,500,50,500,IndustroPro,Normal
2023-07-18,P001,Acide Sulfurique,Chimique,Tonne,Sortie,16,484,50,500,,Normal
2023-07-19,P001,Acide Sulfurique,Chimique,Tonne,Entrée,138,500,50,500,OCP Logistique,Normal
2023-07-19,P001,Acide Sulfurique,Chimique,Tonne,Sortie,35,465,50,500,,Normal
2023-07-20,P001,Acide Sulfurique,Chimique,Tonne,Sortie,8,457,50,500,,Normal
2023-07-21,P001,Acide Sulfurique,Chimique,Tonne,Entrée,104,500,50,500,Atlas Équipements,Normal
2023-07-21,P001,Acide Sulfurique,Chimique,Tonne,Sortie,15,485,50,500,,Normal
2023-07-22,P001,Acide Sulfurique,Chimique,Tonne,Sortie,33,452,50,500,,Normal
2023-07-23,P001,Acide Sulfurique,Chimique,Tonne,Sortie,27,425,50,500,,Normal
2023-07-24,P001,Acide Sulfurique,Chimique,Tonne,Entrée,80,500,50,500,OCP Logistique,Normal
2023-07-24,P001,Acide Sulfurique,Chimique,Tonne,Sortie,6,494,50,500,,Normal
2023-07-25,P001,Acide Sulfurique,Chimique,Tonne,Sortie,10,484,50,500,,Normal
